ts_iso,block,run_id,branch_sha,who,skew_s_before,upper_bringup_ts,station_nodes,container_participants,activation_ts,deactivation_ts,max_meas_offset_rad_json,faults,mem_used_gb_max,verdict,verdict_reason,log_path,notes
2026-09-02T13:06:18+02:00,T3 (all three cameras; native set-up C),t3_20260902_130618,de45329 (code 020a0c2 not deployed),julian,n/a,arms up; nothing activated,"realsense2_camera_node x2 + zed_open_capture_ros (pixi run cameras since 12:42)",0 containers; 1 native participant + 3 spawned workers,n/a,n/a,"{}",0,5.8,DISCOVERY+INGEST PASS all three; ACCEPTANCE FAIL (rates + shapes),"wrist_left topic=/wrist_camera_left/camera/color/image_rect_raw reliability=1 durability=1; wrist_right same; head durability=2; ingest Hz head 18.1 / wrist_left 14.6 / wrist_right 8.3 (frames 183/148/84 in 10 s); gap(sim-s) 0.066/0.067/0.067; lag30 2.0 on all; shapes head (376,672,3) wrist_left (480,848,3) wrist_right (480,848,3) vs contract 720x1280 / 480x640; clock 49.8; joint_states 1081 Hz per arm; station RSS right after: RealSense 70/71 MB (+5 vs 64/65 baseline), ZED 102 MB, MEM 5.84 GB",outputs/rig/munich_2026-09-01/t3_20260902_130618/t3_checkobs_130618.log,"none of the three cameras is at corpus resolution today (ZED VGA per site commit 646ecda; RealSense color profile arg not taking effect -> 848x480 default); wrist_right ingest 8.4 Hz = per-process starvation, under analysis; 3-min soak pending"
2026-09-02T13:11:32+02:00,T3 discriminator (wrist_right alone; native),t3w_right_20260902_131132,de45329,julian,n/a,arms up; nothing activated,"realsense2_camera_node x2 + zed_open_capture_ros",0 containers; 1 native participant + 1 worker,n/a,n/a,"{}",0,6.0,wrist_right alone 14.1 Hz (vs 8.4 with 3 cameras),"141 frames / 14.073 Hz / gap 0.067 / lag30 2.0 / clock-stamp 0.031; shape (480,848,3); station RSS unchanged (70/71/45/102 MB), MEM 6.0 GB",outputs/rig/t3w_right_131132.log (on ebimHP),"stamp gap 0.067 s in every run -> RealSense wire ~15 fps (launcher color profile not applied?); the 3-camera 8.4 Hz is an additional contention loss on our side (U-22)"
2026-09-02T13:13:43+02:00,T3 verification (deployed a20277f: shape alarm + worker fix),t3_20260902_131343,a20277f,julian,n/a,arms up; nothing activated,"realsense2_camera_node x2 + zed_open_capture_ros",0 containers; 1 native participant + 3 workers,n/a,n/a,"{}",0,5.8,exit 3 = SHAPE MISMATCH on all three (alarm works); worker traceback gone,"image_head 16.6 / wrist_left 8.0 / wrist_right 13.2 Hz (frames 168/81/134; gap 0.067/0.100/0.067) — the starved wrist FLIPPED sides vs 13:06 (left 14.6->8.0, right 8.3->13.2) => contention on our side, not a camera property; SHAPE MISMATCH head 376x672x3 vs 720x1280x3, wrists 480x848x3 vs 480x640x3; no worker Traceback/RCLError at exit; two rclpy 'Destroyable' warnings remain (parent-side subscriptions/timers at destroy_node); station RSS unchanged",outputs/rig/t3_checkobs_131343.log (on ebimHP),"U-22: per-run random loser between the two wrist workers"
2026-09-02T14:09:15+02:00,T3 post-launcher-fix + deployed 0d42efe (single sub + wire counters),t3_20260902_140915,0d42efe,julian,0.643 (not synced; cameras only),arms up; nothing activated,"cameras restarted 14:08 with rgb_camera.color_profile '640,480,30' + ZED HD720",0 containers; 1 native participant + 3 workers,n/a,n/a,"{}",0,5.8,PARTIAL: head at 720x1280 (no head mismatch), wrists STILL 848x480; parent HUNG at INTERPRETER EXIT (all output printed; atexit join of a rclpy MultiThreadedExecutor pool thread),"wire counters (first in-participant wire measurement): head recv 17.6-20.7/s decoded 17-19 shipped 16-18 dropped_full 3-6; wrist_right recv 19.6 -> 17.3 -> 12.0/s; wrist_left recv 17.6 -> 5.7 -> 8.7/s (receive-side loss, below our callback); stream table image_head 16.4 / wrist_left 9.0 / wrist_right 13.8 Hz; gripper_js 99.7; camera table: head 166 frames wire 18.9 Hz ingest 16.6 gapmin 0.030 (30 fps wire, HD720 confirmed 720x1280); wrist_left 91 / wire 9.7 / ingest 9.1 gapmin 0.033; wrist_right 140 / 15.0 / 14.0 gapmin 0.033 (wrists 30 fps on the wire but recv counts 10-15/s = receive-side loss below our callback); then the process sat 6+ min in interpreter exit (Ctrl+C traceback: threading._shutdown -> concurrent.futures thread _python_exit -> t.join) = a rclpy executor pool thread never finished; workers had exited; station RSS unchanged, MEM 5.8 GB",outputs/rig/t3_checkobs_140915.log (on ebimHP),"RealSense value format likely wrong for 4.55 ('640,480,30' vs '640x480x30'); operator Ctrl+C requested; hang under investigation"
2026-09-02T14:44:14+02:00,T3 Run A (site DDS profile; hang fix deployed 25dae26; launcher x-form),t3_20260902_144414,25dae26,julian,0.066,2026-09-02T14:36 (arms up; inactive),"cameras restarted 14:25 (rgb_camera.color_profile '640x480x30' + ZED HD720)",0 containers; 1 native participant + 3 workers,n/a,n/a,"{}",0,6.4,exits cleanly (hang fixed); UDP drops confirmed live: UdpRcvbufErrors +2990 during the run; wrists STILL 848x480,"head 179 frames wire 21.4 Hz ingest 17.9 gapmin 0.026 (720x1280); wrist_left 106 / wire 11.1 / ingest 10.6 gapmin 0.033 (the loser this time); wrist_right 177 / 21.1 / 17.7; dropped_full 2-9 per 3 s; SHAPE MISMATCH wrists 480x848x3 vs 480x640x3 -> exit 3; station RSS unchanged, MEM 6.4 GB; UdpRcvbufErrors 46,761,273 -> 46,764,263 across the run",outputs/rig/t3_checkobs_144414.log (on ebimHP),"rgb_camera.color_profile with the x-form still not applied (quoting? node ignores?); Run B with the 16 MB-buffer profile next"
2026-09-02T14:48:47+02:00,T3 Run B (camelo DDS profile 16 MB rx buffer),t3_20260902_144847,25dae26,julian,~0.07,2026-09-02T14:36 (arms up; inactive),"cameras (launcher x-form; wrists still 848x480)",0 containers; 1 native participant + 3 workers (FASTRTPS_DEFAULT_PROFILES_FILE=outputs/rig/fastdds_camelo.xml),n/a,n/a,"{}",0,6.2,INGEST PASS all three at the drain ceiling; shape FAIL (wrists 848x480),"wire recv=30.0/s on head, wrist_left, wrist_right (was 21/11/21 in Run A); decoded 25 (rate limit) shipped 20 (drain); ingest 19.8/19.7/19.8 Hz; frames 198/197/198; gapmin 0.026/0.033/0.033; dropped_full 12-15 per 3 s (parent drain slower than the 25 Hz decode = expected); UdpRcvbufErrors 46,764,263 -> 46,765,044 = +781 across Run B (operator's before/after) vs +2938 in Run A; residual drops did not cost image samples (recv = wire rate) -> other sockets (host-wide counter); head 720x1280; station RSS unchanged, MEM 6.2 GB; exit 3 (wrist shape)",outputs/rig/t3_checkobs_144847.log (on ebimHP),"first run where every camera reached the wire rate inside our participant; keep the export for all native runs"
2026-09-02T15:41:41+02:00,T5.1 run_policy dry run (dummy adapter; first run_policy --world real on the rig),t5dry_20260902_154141,25dae26,julian,0.034 (synced ~15:38),2026-09-02T15:39,cameras up (not used: --cameras ''),0 containers; 1 native participant (camelo DDS profile),self: switch_controller activate ok (BEST_EFFORT) both arms at 15:41:44.9 (t~1.1 s); q0=g0 exact (activation_ref_spread 1.2e-5 rad; drift 0.0),self: deactivate ok both arms at 15:42:15 after --seconds 30,"{""left"":{""worst_j7"":0.00001},""right"":{""worst_j7"":0.00001}}",0,6.2,PASS — runner real path works end to end,"600 ticks in 30.06 s (20 Hz exact), clamped 0/600, chunks 100, stale 0, max_requested_delta 9e-6 rad, max_publish_gap_s 0.058, keepalive_republished 0; arms did not move (dummy echoes measured); 0 rejects 0 faults 4 CMs; joint CSV 384 KB written",outputs/rig/t5dry_154141.log (on ebimHP),"--no-start-pose-check used deliberately for the dummy adapter only"
2026-09-02T15:45:01+02:00,T5.2 home_arms.py --file ~/t5_ep009_home_pose.yaml (episode 9 frame 0),t5home_20260902_154501,25dae26 (site script),julian,~0.1,2026-09-02T15:39,cameras up (unused),0 (companion-native home_arms participant),n/a (PTP position control; impedance controllers inactive),n/a,"{""left"":{""travel"":3.2597},""right"":{""travel"":1.3399}}",0,6.2,SOFTWARE OK (both arms 'at home' within 0.05 rad); OPERATOR judged the left-arm configuration unreasonable and hand-guided it away afterwards,"home_arms: left max joint error 3.2597 rad -> 'at home' after 22 s (15:45:23); right 1.3399 rad -> 'at home' after 9 s (15:45:32); companion: PTP motion completed successfully both sides, 0 faults, 4 CMs; after hand-guiding: 4 CMs, 0 faults",~/start_upper.log (companion) + operator terminal,"task-2 corpus frame-0 configuration (L j1 +1.85, j3 -2.24) reachable by PTP but deemed unsafe/awkward in today's cell by the operator -> T5.3 full-episode replay not run; right-arm-only replay considered"
2026-09-02T15:48:55+02:00,T5.3 replay attempt (episode 9; both arms),t5_replay_ep9_20260902_154855,25dae26,julian,~0.1,2026-09-02T15:39,cameras up (unused),0 containers; 1 native participant (camelo DDS profile),none — REFUSED before activation by the start-pose check,deactivate call issued anyway (confirmed; nothing was active),"{}",0,6.2,REFUSED (correct): left arm 0.66 rad off episode 9's frame 0 after the operator hand-guided it away,"StartPoseNotReached: max 0.6601 rad (tol 0.10, worst left j6); left errors j1 +0.26 j2 +0.14 j3 +0.65 j4 +0.49 j5 +0.51 …; right within tolerance (see log); 0 faults 0 rejects 4 CMs",outputs/rig/t5_replay_ep9_154855.log (on ebimHP),"the runner's refusal path works end to end (verify -> deactivate -> exit, nothing commanded); right-arm-only replay possible once the start-pose check is scoped to --arms (landing)"
2026-09-02T15:52:41+02:00,T5.3 open-loop replay of held-out episode 9 (RIGHT arm; left held),t5_replay_ep9_20260902_155241,39fa124,julian,~0.15 (synced 15:38),2026-09-02T15:39,cameras up (unused: --cameras ''),0 containers; 1 native participant (camelo DDS profile),self: right activated 15:52:47 (t~6 s; q0=g0 exact; left held at its hand-guided pose 0.66 rad off frame 0),self: right deactivated 15:53:09 after --seconds 22; confirmed,"{""right"":{""meas_vs_cmd_max"":[0.153,0.028,0.168,0.044,0.202,0.563,0.645],""cmd_vs_recorded_max"":[0.022,0.005,0.033,0.017,0.046,0.088,0.049]}}",0,6.2,COMMAND FIDELITY PASS / WRIST TRACKING POOR,"439 ticks in 22.0 s (20 Hz), 52 chunks, 0 stale, clamped 45/439 = 10.3 % (largest commanded step exactly 0.050 rad), max_publish_gap 0.052, keepalive 0; commanded trajectory matches the recorded actions at lag 0 within 0.088 rad on every right joint (executor + replay adapter correct; chunk timing right — lag ±8 frames gives 0.39/0.45); measured right arm: j1-j5 within 0.03-0.20 rad of commanded, but j6 0.56 and j7 0.64 rad behind (recorded j7 swings 1.53 rad; controller gains k6=60 k7=20, the same compliance as T1's 60 %/10 % amplitude); max_requested_delta 0.68 = the executor pulling the lagging wrist toward the chunk; right gripper cmd 0.20..1.00 -> measured 0.02..1.00 (closed on nothing and reopened, as recorded); 0 faults 0 rejects 4 CMs",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/t5_replay_ep9_155241.log,"T5 exit criterion: tracks on the big joints, NOT on the wrist under the current impedance gains — the corpus's own follower tracked within a few hundredths (16a) -> gains/controller at recording time vs today = U-26 (blocks T6 wrist fidelity)"
2026-09-02T16:06:35+02:00,T5 scene check (live head frame vs corpus episode 9 frame 0),live_head_160635,39fa124,julian,n/a,arms up; right arm on episode 9 frame 0 (re-homed 15:58); left hand-guided,cameras restarted ~16:05,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,U-25 ANSWERED: the mobile base is elsewhere; arm configuration correct,"live: table far LEFT ~1 m away, floor fills the lower half, a gripper visible at top-left = the LEFT arm at its hand-guided pose (operator 16:12); the RIGHT arm on frame 0 is out of view, exactly as in corpus frame 0; corpus frame 0: robot centred at the table's short edge, close, table fills the lower half, pads mid-frame; mean |pixel diff| 93/255; corpus mid-episode frames show the right Franka entering from the top right, grasping the red pad (gripper closed frames ~108-290) and retracting -> genuine robot demo, arms rest above/behind the head camera",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep9_side.png,"next: reposition the base until the live head view matches frame 0 (overlay), then re-capture (C-15)"
2026-09-02T16:11:52+02:00,C-15 base repositioned to the table (live head frame vs corpus episode 9 frame 0; 2nd capture),live_head_161152,39fa124,julian,n/a,arms up; right on episode 9 frame 0; left hand-guided (visible top-left),cameras up,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,C-15 APPROXIMATELY MET,"operator pushed the base to the table's short edge; live view now matches corpus frame 0 in layout (table centred, near edge at the bottom, fixture right, pads mid-frame); residual: base slightly closer (pads lower/larger, far edge ~25 % vs ~20 % from the top) and a small rotation; scene difference: red pad in slot 3 today vs slot 4 in episode 9; right arm (frame 0) out of view as in the corpus; left gripper visible top-left because the left arm is at its hand-guided pose, not its corpus rest pose",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep9_v2_side.png,"for T6: fine-tune the base by overlay, home the LEFT arm to its corpus rest pose too (above the camera), set the scene per 15 §2"
2026-09-02T16:14:46+02:00,C-15 base fine-tuned (3rd capture; base moved back slightly),live_head_161446,39fa124,julian,n/a,arms up; right on episode 9 frame 0; left hand-guided (visible top-left),cameras up,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,C-15 MET to within a few cm,"live view vs corpus frame 0: table far edge ~22 % from the top (corpus ~20 %), near edge at the bottom in both, pads mid-frame at nearly the same image height (live still ~5-10 cm closer), fixture at the right, slight rotation residual; scene: red pad in slot 3 vs slot 4 in episode 9",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep9_v3_side.png,"overlay method works as the base-placement instrument; ~2 iterations of push + capture"
2026-09-02T16:14:46+02:00,C-15 3rd capture (base eased back) + overlays vs episodes 9 and 21,live_head_161446,39fa124,julian,n/a,arms up; right on episode 9 frame 0; left hand-guided,cameras up,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,C-15 MET,"vs episode 9 frame 0: far edge ~22 % vs ~20 % from the top, pads mid-frame, slight rotation, mean |pixel diff| 93; vs episode 21 frame 0: mean |pixel diff| 54, table/pads/fixture nearly coincident; episode 21's frame 0 shows BOTH grippers hanging in at the top edge (arms above/behind the head camera) — confirms the task-2 rest posture; red pad slot 3 today vs 4 (ep 9) — in ep 21 the red pad is 4th too",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep21_v3_side.png,"overlay = the base-placement instrument (capture_head.py + overlay.py)"
2026-09-02T16:20:06+02:00,C-15 4th capture (table moved slightly),live_head_162006,39fa124,julian,n/a,arms up; right on episode 9 frame 0; left hand-guided,cameras up,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,C-15 MET (best so far),"mean |pixel diff| 47.4 vs episode 9 frame 0 and 47.0 vs episode 21 frame 0 (was 93/54 at 16:14); overlays cmp_ep9_v4_* and cmp_ep21_v4_*",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep9_v4_side.png,"table position adjusted by the operator; base unchanged"
2026-09-02T16:24:31+02:00,C-15 captures 5-8 (table + pads adjusted; monitor-driven overlays),live_head_162326..162431,39fa124,julian,n/a,arms up; right on episode 9 frame 0; left hand-guided,cameras up,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,C-15 DONE — table outline and fixture coincide with corpus frame 0 (ep 21),"mean |pixel diff| vs ep9 / ep21: v5 45.9/46.0, v6 45.8/45.1, v7 40.9/42.4, v8 41.9/42.5 (from 93/54 at 16:14); residual = pad row ~half a slot left of the ep-21 row (scene set-up, randomised per 15 §2)",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep21_v8_blend.png,"standing monitor: each new capture_head.py run -> overlays vs ep 9 and 21 automatically"
2026-09-02T16:28:10+02:00,C-15 captures 9-10 (new scene set-up),live_head_162711..162810,39fa124,julian,n/a,arms up; right on episode 9 frame 0; left hand-guided,cameras up,0 containers; 1 native participant (capture_head.py),n/a,n/a,"{}",0,6.2,C-15 DONE (unchanged),"mean |pixel diff| vs ep9 / ep21: v9 40.4/40.9, v10 40.7/40.0; table outline + fixture coincide; pad row ~half a slot left of ep 21's",outputs/rig/munich_2026-09-01/t5_replay_20260902_155241/cmp_ep21_v10_blend.png,"scene set-up iterations via the standing overlay monitor"
2026-09-02T16:33:32+02:00,T5.3 replay #2 of episode 9 (right arm; scene placed to corpus frame 0),t5_replay_ep9_20260902_163332,39fa124,julian,0.012 (synced 16:30),2026-09-02T16:31,cameras up (unused: --cameras ''),0 containers; 1 native participant (camelo DDS profile),self: right activated 16:33:34 (t~1.2 s; q0=g0; ref spread 7e-5),self: right deactivated 16:33:56 after --seconds 22; confirmed,"{""right"":{""meas_vs_cmd_max"":[0.155,0.025,0.166,0.035,0.176,0.561,0.640],""cmd_vs_recorded_max"":[0.028,0.006,0.056,0.022,0.046,0.082,0.063],""run_to_run_max"":[0.029,0.003,0.028,0.013,0.028,0.028,0.026]}}",0,4,REPRODUCIBLE: identical to run #1 within 0.03 rad on every joint; wrist lag unchanged (U-26),"438 ticks in 22.0 s, clamped 47/438 = 10.7 %, max_publish_gap 0.054, keepalive 0; commanded = recorded within 0.082 rad; measured run-to-run difference max 0.029 rad, mean 0.002 rad -> the replay is deterministic; gripper cmd 0.20..1.00 -> meas 0.02..1.00; 0 faults 0 rejects 4 CMs; left held at its hand-guided pose",outputs/rig/munich_2026-09-01/t5_replay_20260902_163332/t5_replay_ep9_163332.log,"first replay with the scene matching corpus frame 0 (C-15 done): operator 16:36: 'worked super well' — the recorded grasp executed on the placed scene"
2026-09-02T17:10:00+02:00,T6 entry (4) parity gate 15 §1.2 on the serving box (EC2 A10G; not a rig run),parity_act_ep9_20260902_150804,7692eb5 (tool at mb 369ed07 on EC2),julian,n/a,n/a,n/a,0 (separate docker run --rm),n/a,n/a,n/a,0,n/a,A PASS (0.0 on 15 dims) / B FAIL 1.199e-3 vs 1e-3 gripper chunk / negctrl camera_blank PASS 0.746,A is the bar (15 §1.2); B residual consistent with A10G-vs-H100 float noise (hypothesis),outputs/rig/munich_2026-09-01/parity/,server container untouched; rig clock +0.42 s and cameras down at 17:00 (R-62)
